label,group
"sew_(weave,_stitch,_sew)","['sew', 'sow', 'sows', 'stich', 'stitch', 'thread', 'weave']"
shake,"['shake', 'shake off', 'vibrate','sway']"
sharpen,['sharpen']
shuffle,"['rehuffle', 'reshuffle', 'shuffle']"
sieve,"['sieve', 'winnnow', 'winnow']"
sit,"['kneel', 'lay', 'lays', 'sit']"
smooth,"['smooth', 'smoothen', 'smoothens']"
spray,['spray']
sprinkle,"['scatter', 'scatters', 'sprinkle','drizzle']"
squeeze,"['squeeze', 'squeezes']"
stand,['stand']
step,['step']
"stick_(tape,_stick,_glue)","['glue', 'stick', 'tape']"
stretch,['stretch']
swing,"['swing','swung','swirl']"
"take_(pick,_grab,_get)","['collect', 'collects', 'fetch', 'gather', 'gathers', 'get', 'grab', 'lift', 'pick', 'pick out', 'picks', 'select', 'take', 'take back', 'take down', 'take out', 'takes', 'takes down']"
"talk_(talk,_interact,_converse)","['converse', 'dialogue', 'gesticulate', 'interact', 'talk']"
"throw_(toss,_dump,_dispose)","['dispose', 'dump', 'fling', 'throw', 'throws', 'toss', 'trash', 'trashes','discard']"
tie,['tie']
tighten,"['clamp', 'tighten']"
tilt,['tilt']
touch,"['pat', 'tap', 'taps', 'touch']"
"turn_(spin,_rotate,_flip,_turn_over)","['flip', 'rotate', 'rotates', 'spin', 'turn', 'turn_over', 'twist', 'twists']"
"turn_off_(turn_off,_switch_off)","['extinguish', 'put off', 'switch_off', 'turn off', 'turn_off']"
"turn_on_(switch_on,_start,_light)","['light', 'put on', 'start', 'switch_on', 'turn on', 'turn_on']"
uncover,['uncover']
unfold,['unfold']
unroll,['unroll']
unscrew,['unscrew']
untie,['untie']
walk,['walk']
wash,"['rinse', 'rinses', 'wash']"
watch,['watch']
water,['water']
wave,['wave']
wear,['wear']
weld,['weld']
wipe,"['erase', 'erases', 'polish', 'polishes', 'rub', 'rubbing', 'rubs', 'wipe']"
write,"['note', 'write', 'writes','mark']"
zip,['zip']
poke,"['poke','stab']"
skim,['skim']
ignite,['ignite']
scramble,['scramble']
inject,['inject']
install,"['install','assemble']"
aspirate,"['aspirate','extract']"
